ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
5;157;1;0;0;0;1;0;1;0
5;158;0;0;0;0;0;0;1;0
5;159;0;0;0;0;0;0;1;0
5;160;1;0;0;0;0;0;2;0
5;161;0;1;0;0;0;0;1;0
5;162;1;0;0;0;0;0;2;0
5;163;1;0;0;0;0;0;6;0
5;164;0;1;0;0;0;0;2;0
5;165;1;0;0;0;0;0;5;0
5;166;0;0;0;0;0;0;5;0
5;167;0;0;0;0;0;0;5;0
5;168;0;0;0;0;0;0;5;0
5;169;0;0;0;0;0;0;5;0
5;170;0;0;1;0;0;0;5;1
6;171;1;0;0;0;1;0;1;0
6;172;0;0;0;0;1;0;1;0
6;173;1;0;0;0;0;0;4;0
6;174;0;0;0;0;0;0;4;0
6;175;0;0;0;0;0;1;4;0
6;176;0;0;1;0;0;0;4;1
6;177;0;0;0;0;0;0;4;1
6;178;0;0;8;0;0;0;4;9
6;179;0;0;0;0;1;0;4;9
6;180;0;0;0;7;0;0;4;2
6;181;1;0;0;0;0;0;6;2
6;182;0;2;0;2;0;1;1;0
6;183;0;0;0;0;1;1;1;0
6;184;0;0;0;0;1;0;1;0
6;185;0;0;0;0;0;0;1;0
6;186;1;0;0;0;0;0;4;0
6;187;0;0;1;0;0;0;4;1
6;188;1;0;0;0;0;0;5;1
6;189;0;0;0;0;0;0;5;1
6;190;0;1;0;0;0;0;4;1
6;191;1;0;0;0;0;0;5;1
6;192;0;1;0;0;0;0;4;1
6;193;0;1;0;0;0;0;3;1
6;194;0;1;0;1;0;0;0;0
6;195;1;0;0;0;0;0;1;0
6;196;0;0;0;0;0;0;1;0
6;197;0;0;0;0;0;0;1;0
6;198;0;0;0;0;0;0;1;0
6;199;0;0;0;0;0;0;1;0
6;200;0;0;0;0;0;0;1;0
6;201;1;1;0;0;0;0;2;0
6;202;1;0;0;0;0;0;5;0
6;203;0;0;1;0;0;0;5;1
6;204;0;0;0;0;0;0;5;1
6;205;0;0;0;0;0;0;5;1
6;206;0;0;1;0;0;0;5;2
6;207;0;0;0;0;0;0;5;2
6;208;0;1;0;1;0;0;3;1
6;209;1;0;0;0;0;0;4;1
6;210;0;1;0;0;0;0;3;1
6;211;1;0;0;0;0;0;4;1
6;212;1;0;0;0;0;0;5;1
6;213;0;0;0;0;0;0;5;1
6;214;0;0;0;0;0;0;5;1
6;215;0;0;0;0;0;1;5;1
6;216;0;0;0;0;0;0;5;1
6;217;0;1;0;0;0;0;4;1
6;218;1;0;0;0;0;0;5;1
6;219;0;0;0;0;0;0;5;1
6;220;1;0;0;0;0;0;6;1
6;221;0;0;0;0;1;0;6;1
6;222;0;0;0;0;0;1;6;1
6;223;0;0;0;0;0;0;6;1
6;224;0;0;0;0;0;0;6;1
6;225;0;0;1;0;0;0;6;2
6;226;0;0;1;0;0;0;6;3
6;227;0;0;0;0;1;0;6;3
6;228;0;0;0;0;0;0;6;3
6;229;0;0;0;0;0;0;6;3
6;230;1;1;0;1;0;0;7;2
6;231;0;1;0;1;0;0;5;1
6;232;0;0;0;0;1;0;5;1
6;233;0;0;0;0;0;1;5;1
6;234;0;0;0;0;0;1;5;1
6;235;0;0;0;0;1;0;5;1
6;236;0;0;0;0;0;1;5;1
6;237;0;0;0;0;1;0;5;1
6;238;0;0;0;0;0;0;5;1
6;239;0;0;1;0;0;0;5;2
7;240;2;0;0;0;1;0;4;0
7;241;1;0;0;0;0;0;5;0
7;242;1;0;0;0;1;1;5;0
8;243;2;0;0;0;1;0;5;0
8;244;0;0;0;0;0;0;5;0
8;245;0;0;0;0;0;0;5;0
8;246;0;0;0;0;0;0;5;0
9;247;2;0;0;0;1;0;2;0
9;248;0;0;0;0;1;1;2;0
9;249;0;0;0;0;1;1;2;0
9;250;1;0;0;0;0;0;4;0
9;251;0;0;0;0;0;0;4;0
9;252;0;0;0;0;0;0;4;0
9;253;0;0;0;0;0;0;4;0
9;254;0;0;0;0;0;0;4;0
9;255;0;0;0;0;1;1;4;0
9;256;0;0;1;0;0;0;4;1
9;257;0;0;0;0;0;0;4;1
9;258;0;0;1;0;0;0;4;2
9;259;1;3;0;2;1;1;1;0
9;260;1;0;0;0;0;0;2;0
9;261;0;0;0;0;0;0;2;0
9;262;0;0;0;0;0;0;2;0
9;263;0;1;0;0;0;0;1;0
9;264;1;1;0;0;0;0;1;0
9;265;0;0;0;0;0;0;1;0
9;266;0;0;4;0;0;0;1;4
9;267;0;0;0;0;0;0;1;4
9;268;1;1;0;4;0;0;1;0
9;269;1;0;0;0;0;0;2;0
9;270;0;0;0;0;1;0;2;0
9;271;0;1;0;0;0;0;1;0
9;272;0;0;0;0;0;1;1;0
9;273;0;0;0;0;1;0;1;0
9;274;0;0;0;0;0;0;1;0
9;275;0;0;0;0;0;0;1;0
9;276;1;0;0;0;0;0;2;0
9;277;0;0;0;0;0;0;2;0
9;278;0;1;0;0;0;0;1;0
9;279;1;0;0;0;0;0;3;0
9;280;0;0;5;0;0;0;3;5
9;281;0;0;0;0;0;0;3;5
9;282;0;1;0;5;0;0;1;0
9;283;1;0;0;0;0;0;3;0
9;284;1;0;0;0;0;0;7;0
9;285;0;0;0;0;1;0;7;0
9;286;0;0;0;0;0;1;7;0
9;287;0;0;0;0;0;0;7;0
9;288;0;1;0;0;0;0;6;0
9;289;0;1;0;0;0;0;2;0
9;290;1;0;0;0;0;0;4;0
9;291;0;0;0;0;0;0;4;0
9;292;0;0;0;0;0;0;4;0
9;293;0;1;0;0;0;0;2;0
10;294;2;0;2;0;2;0;5;2
10;295;0;0;0;0;0;0;5;2
10;296;0;0;0;0;0;0;5;2
11;297;1;0;0;0;3;0;1;0
11;298;0;0;0;0;0;0;1;0
11;299;0;0;0;0;0;0;1;0
11;300;1;1;0;0;0;0;1;0
11;301;1;0;0;0;0;0;2;0
11;302;0;0;0;0;0;0;2;0
11;303;0;1;0;0;0;0;1;0
11;304;1;0;0;0;0;0;3;0
11;305;0;0;0;0;0;0;3;0
11;306;0;0;0;0;0;0;3;0
11;307;0;0;0;0;0;0;3;0
11;308;0;0;0;0;0;1;3;0
11;309;0;0;0;0;1;0;3;0
11;310;0;0;0;0;0;0;3;0
11;311;0;0;0;0;0;0;3;0
11;312;0;0;0;0;0;0;3;0
11;313;0;0;0;0;0;0;3;0
11;314;0;0;0;0;0;0;3;0
11;315;0;0;0;0;1;0;3;0
11;316;0;0;0;0;0;0;3;0
11;317;0;0;0;0;0;1;3;0
11;318;0;0;0;0;0;0;3;0
11;319;0;0;0;0;0;0;3;0
11;320;0;0;0;0;0;0;3;0
11;321;0;0;0;0;0;0;3;0
11;322;0;0;0;0;0;0;3;0
11;323;0;0;0;0;0;0;3;0
11;324;0;0;0;0;0;1;3;0
11;325;0;0;0;0;0;1;3;0
11;326;0;0;0;0;1;1;3;0
11;327;0;0;0;0;0;0;3;0
11;328;0;1;0;0;0;0;1;0
11;329;0;0;0;0;0;0;1;0
11;330;0;0;16;0;0;0;1;16
11;331;0;0;0;0;1;0;1;16
11;332;0;0;0;0;0;0;1;16
12;333;1;0;0;0;1;0;4;0
12;334;0;0;0;0;0;0;4;0
12;335;0;0;0;0;0;0;4;0
12;336;0;0;0;0;0;0;4;0
12;337;1;0;0;0;0;0;6;0
12;338;1;1;0;0;0;0;7;0
12;339;1;0;0;0;0;0;8;0
12;340;0;3;1;0;0;0;0;1
12;341;0;0;8;0;0;0;0;9
12;342;3;0;0;9;0;0;6;0
12;343;0;0;0;0;0;0;6;0
12;344;0;0;0;0;0;0;6;0
13;345;1;0;0;0;1;0;1;0
13;346;0;0;0;0;0;0;1;0
13;347;0;0;0;0;0;0;1;0
13;348;0;0;0;0;0;0;1;0
13;349;0;0;0;0;0;0;1;0
13;350;1;0;0;0;0;0;2;0
13;351;0;0;0;0;0;0;2;0
13;352;0;0;0;0;0;0;2;0
13;353;0;0;0;0;0;0;2;0
13;354;0;0;0;0;0;0;2;0
13;355;0;0;0;0;1;0;2;0
13;356;1;0;0;0;0;0;4;0
